SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,HasFamily,EngagementScore,ChargePerTenure,InternetService_Fiber optic,InternetService_No,MultipleLines_No phone service,MultipleLines_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
0,1,0,-1.2802480369298874,0,1,0,-1.1616939352451685,0,1,-0.5620439030887259,1.0745059890812056,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
0,0,0,0.06430268518835193,1,0,1,-0.2608779199297493,0,0,-0.02063394055175053,-0.47682545041560265,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0,0,0,-1.2395040756535771,0,1,1,-0.3639232943754246,1,0,-0.02063394055175053,1.4281955497791234,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0,0,0,0.512486259227765,1,0,2,-0.747850415293989,0,0,0.5207760219852249,-0.5597032022623095,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
0,0,0,-1.2395040756535771,0,1,0,0.19617817640187488,1,0,-1.1034538656257014,2.0842138108755917,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,-0.9950403079957154,0,1,0,1.1584890119510036,1,0,0.5207760219852249,0.6250984614617391,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
0,0,1,-0.42462485012737144,0,1,3,0.8078023344020117,0,1,-0.02063394055175053,-0.2153519798006402,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,0,0,-0.9135523854430948,0,0,1,-1.1650179795821258,0,0,-0.5620439030887259,-0.3519251765057768,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0,1,0,-0.18016108246950976,0,1,0,1.3296772953043026,1,1,1.0621859845222001,-0.24570157906844836,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True
0,0,1,1.2051336009250397,1,0,2,-0.28747027462540753,0,1,-0.02063394055175053,-0.5632050791009028,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
0,1,1,-0.791320501614164,0,1,1,-0.4935610235167579,0,1,-0.5620439030887259,-0.2503707481865727,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,0,0,-0.6690886177852331,2,0,3,-1.5240147679735105,0,0,-1.1034538656257014,-0.5375246489512189,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
0,1,0,1.0421577558197987,1,0,3,1.181757322309704,0,1,0.5207760219852249,-0.468654404458885,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
0,0,0,0.6754621043330061,0,1,2,1.2931128075977727,1,0,1.0621859845222001,-0.42546459011623505,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
0,0,0,-0.3023929662984406,0,1,0,1.3529456056630036,0,0,1.6035959470591756,-0.1931734264895497,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True
0,1,1,1.4903413298592119,2,0,3,1.6105590417771916,0,1,2.145005909596151,-0.4779927426951337,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True
0,0,0,0.797693988161937,1,0,1,-1.4675060142452372,0,0,-1.1034538656257014,-0.6215696930774569,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False
0,0,1,1.5718292524118322,2,0,2,1.3928341377064908,0,1,1.0621859845222001,-0.4943348346085688,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True
0,1,1,-0.9135523854430948,0,0,3,-0.3190486958265014,1,1,-0.02063394055175053,-0.0811133676545658,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0,0,0,-0.46536881140368175,0,1,0,0.8393807556031058,0,0,0.5207760219852249,-0.18967154965095642,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
1,0,0,-1.2802480369298874,0,1,0,-0.8359375902233565,1,0,-0.02063394055175053,1.646479206051436,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
